City,Places
vrysses,Vrysses
koufos,Koufos
patellari,Patellari
platanias,Platanias
agia marina,Agia Marina
trachilos,Trachilos
kissamos (kastelli),Kissamos (Kastelli)
merada,Merada
kallergiana,Kallergiana
kato paleokastro,Kato Paleokastro
kokkino metochi,Kokkino Metochi
potamida,Potamida
rokka,Rokka
kotsiana,Kotsiana
nopigia,Nopigia
astrikas,Astrikas
vassilopoulo,Vassilopoulo
plakalona,Plakalona
melissourgio,Melissourgio
kamara (kamara koumouliou),Kamara (Kamara Koumouliou)
ravdoucha,Ravdoucha
kaloudiana,Kaloudiana
kares,Kares
anoskeli,Anoskeli
mesa voukolies,Mesa Voukolies
lakki,Lakki
pigi (mouriziana),Pigi (Mouriziana)
vassiliana,Vassiliana
zymbragos,Zymbragos
dromonero,Dromonero
fotakado,Fotakado
kato kefala,Kato Kefala
ano kefala,Ano Kefala
marakiana,Marakiana
kakopetros,Kakopetros
platanes,Platanes
neara essiana,Neara Essiana
palia roumata,Palia Roumata
loyfardiana,Loyfardiana
kechres,Kechres
lidiana,Lidiana
sembronas,Sembronas
spina,Spina
nea roumata,Nea Roumata
pappadiana,Pappadiana
nteres,Nteres
vatolakkos,Vatolakkos
alikianos,Alikianos
fournes,Fournes
skines,Skines
lakki,Lakki
meskla,Meskla
therisso,Therisso
chliaro,Chliaro
orthouni,Orthouni
chosti,Chosti
agia roumeli,Agia Roumeli
palia agia roumeli (samaria),Palia Agia Roumeli (Samaria)
omalos,Omalos
prasses,Prasses
epanochori,Epanochori
prines,Prines
kambanos,Kambanos
skafi,Skafi
pera skafi,Pera Skafi
agriles,Agriles
maralia,Maralia
livada,Livada
maza,Maza
rodovani,Rodovani
temenia,Temenia
prodromi,Prodromi
sougia,Sougia
koustogerako,Koustogerako
livadas,Livadas
moni,Moni
anisaraki,Anisaraki
tsagariakos,Tsagariakos
sfinari,Sfinari
ano sfinari,Ano Sfinari
melissia,Melissia
berbathiana,Berbathiana
kambos,Kambos
plagia (cherethiana),Plagia (Cherethiana)
keramoti,Keramoti
amygdalokefali,Amygdalokefali
livadia,Livadia
simantiriana,Simantiriana
pappadiana,Pappadiana
vathi (kouneni),Vathi (Kouneni)
kefali,Kefali
tzitzifia,Tzitzifia
perivolia,Perivolia
elos,Elos
limni,Limni
sklavopoula,Sklavopoula
laggadas (choumoussiana),Laggadas (Choumoussiana)
kalamios,Kalamios
azogyres,Azogyres
kityros,Kityros
voutas,Voutas
kambos,Kambos
gialos (koundoura),Gialos (Koundoura)
paleochora,Paleochora
anydri,Anydri
platanes,Platanes
asfendiles,Asfendiles
azogyres,Azogyres
spaniakos,Spaniakos
strati,Strati
maroudiana,Maroudiana
pappadiana,Pappadiana
armi,Armi
agia triada (tsaliana),Agia Triada (Tsaliana)
sarakina,Sarakina
plemeniana,Plemeniana
kandanos,Kandanos
drys,Drys
kopeti,Kopeti
mylones,Mylones
aligi,Aligi
strovles,Strovles
faraggi,Faraggi
archontiko,Archontiko
tsiskiana,Tsiskiana
moustakos,Moustakos
vlatos,Vlatos
koutsomatados,Koutsomatados
sassalos,Sassalos
kontoudiana,Kontoudiana
pyrgos,Pyrgos
malathyros,Malathyros
gra-kera,Gra-Kera
panethimos,Panethimos
sfakopigadi,Sfakopigadi
kamara,Kamara
trialonia,Trialonia
choudaliana,Choudaliana
makronas,Makronas
topolia,Topolia
kalathenes,Kalathenes
koukounara,Koukounara
polyrrinia (epano paleokastro),Polyrrinia (Epano Paleokastro)
grigoriana,Grigoriana
goulouvas,Goulouvas
loussakies,Loussakies
zachariana,Zachariana
ierapetra,Ierapetra
kato chorio,Kato Chorio
chohlakies,Chohlakies
sfakakia,Sfakakia
pano & kato drys,Pano & Kato Drys
epano krya,Epano Krya
adrianos,Adrianos
chryssi (gaidouronissi),Chryssi (Gaidouronissi)
lefki (koufonissi),Lefki (Koufonissi)
karave,Karave
fokia,Fokia
ambelos,Ambelos
tzitzifes,Tzitzifes
fres,Fres
drapanias,Drapanias
stalos,Stalos
kyrtomados,Kyrtomados
agia,Agia
chordaki,Chordaki
aktounta,Aktounta
velonado,Velonado
vilandredo,Vilandredo
kato poros,Kato Poros
frantzeskiana metochia,Frantzeskiana Metochia
rethymno,Rethymno
paggalochori,Paggalochori
kalogeros,Kalogeros
miamou,Miamou
tris ekklisies,Tris Ekklisies
alithini,Alithini
vassilika anogia,Vassilika Anogia
vagionia,Vagionia
tymbaki,Tymbaki
loutraki,Loutraki
kato vathia,Kato Vathia
kardamiana,Kardamiana
mastrichiana,Mastrichiana
makres,Makres
plouti,Plouti
panassos,Panassos
paleokastro,Paleokastro
linoperamata,Linoperamata
elea,Elea
alagni,Alagni
charkia,Charkia
kavoussi,Kavoussi
skepasti,Skepasti
pantanassa,Pantanassa
voleones,Voleones
messonissia,Messonissia
elenes,Elenes
finix (finikias),Finix (Finikias)
myrthianos plakias,Myrthianos Plakias
kalathas,Kalathas
marathi,Marathi
chryssavgi (moulete),Chryssavgi (Moulete)
malamadiana,Malamadiana
kavoussi,Kavoussi
skalidiana,Skalidiana
tomadiana,Tomadiana
skonizo,Skonizo
asprouliani,Asprouliani
kastellos,Kastellos
fylaki,Fylaki
kakodiki,Kakodiki
kadros,Kadros
sfakos,Sfakos
chryssopigi (tsaggareliana),Chryssopigi (Tsaggareliana)
floria,Floria
pano floria,Pano Floria
trachiniakos,Trachiniakos
despotiko,Despotiko
psariana,Psariana
thymia,Thymia
spiliaria,Spiliaria
agios georgios,Agios Georgios
agios antonios,Agios Antonios
marediana,Marediana
fterolakka,Fterolakka
vouves,Vouves
ano vouves,Ano Vouves
glossa,Glossa
cherethiana,Cherethiana
fragkokastello (paradissos),Fragkokastello (Paradissos)
vathypetro,Vathypetro
karnari,Karnari
ambela,Ambela
kera eleoussa (arap agas),Kera Eleoussa (Arap Agas)
arvi,Arvi
xeniakos,Xeniakos
agii theodori (kefalogiannis),Agii Theodori (Kefalogiannis)
kollyvas,Kollyvas
skafidaras,Skafidaras
agios dimitrios (karamanli met,Agios Dimitrios (Karamanli Met
ano kalessia,Ano Kalessia
pantanassa,Pantanassa
vourvoulitis,Vourvoulitis
anopolis,Anopolis
pelekita,Pelekita
stavromeno,Stavromeno
galipe,Galipe
skopela,Skopela
chochlakies,Chochlakies
stamni,Stamni
kato karouzana,Kato Karouzana
ano karouzana,Ano Karouzana
agnos,Agnos
polythea (pigaidouri),Polythea (Pigaidouri)
tziggouna,Tziggouna
herakleio,Herakleio
nea alikarnassos,Nea Alikarnassos
katalagari,Katalagari
neo venerato,Neo Venerato
kera,Kera
ano kera,Ano Kera
anissaras,Anissaras
aggissaras,Aggissaras
agios ioannis,Agios Ioannis
aposselemis,Aposselemis
chatzana,Chatzana
Makrys Gyalos,makrys gyalos
